source_id,title,type,url,doi,checked_date,scope_note
E2-Zickfeld-2025-megastudy,Effectiveness of ex ante honesty oaths in reducing dishonesty depends on content,article-journal,https://doi.org/10.1038/s41562-024-02009-0,10.1038/s41562-024-02009-0,2026-09-05,Published online 2024-10-21; final journal issue January 2025. Full 42-author list verified against https://pubmed.ncbi.nlm.nih.gov/39433937/ and author-institution records. Publisher field follows Hebrew University institutional metadata. Full text inspected at https://www.runi.ac.il/yedion/facultypublications/getfile.ashx?fileType=3&publicationId=8196&username=s.ayal
E3-GAO-2012-evaluations,Designing Evaluations: 2012 Revision,report,https://www.gao.gov/products/gao-12-208g,,2026-09-05,Publicly released 2012-02-01. Product-page title adds '(Supersedes PEMD-10.1.4)'. Full report: https://www.gao.gov/assets/gao-12-208g.pdf. Methodological guidance; not an evaluation of the proposed Washington format.
E4-PNAS-2021-Shu-retraction,"Retraction for Shu et al., Signing at the beginning makes ethics salient and decreases dishonest self-reports in comparison to signing at the end",article-journal,https://pmc.ncbi.nlm.nih.gov/articles/PMC8463784/,10.1073/pnas.2115397118,2026-09-05,"Retraction notice for original article DOI 10.1073/pnas.1209746109, first published 2012-08-27. Notice published online 2021-09-13; issue date 2021-09-21. Notice body is signed May R. Berenbaum, Editor-in-Chief; author field omitted because no byline is displayed in the inspected PMC record."
E5-PNAS-2026-Kristal-correction,"Correction for Kristal et al., Signing at the beginning versus at the end does not decrease dishonesty",article-journal,https://pubmed.ncbi.nlm.nih.gov/42372171/,10.1073/pnas.2610441123,2026-09-05,"Published online 2026-06-29. No authors listed in PubMed. Erratum for DOI 10.1073/pnas.1911695117 (Kristal et al., 2020). Bibliographic existence verified; correction full text not retrieved. No interpretation of its substantive effects is made."
R1,Washington sworn-statement project: main,webpage,https://github.com/Sodelin/legal-case-for-opt-in-Washington-State-sworn-statements-program-for-political-truth-program/tree/3905b470c2ab239cf2aae563e1d7b3a1adb73dd3,,2026-09-05,Checked head 3905b470c2ab239cf2aae563e1d7b3a1adb73dd3. Document/repository status is separate from legal clearance.
R2,Washington sworn-statement project: PR 1,webpage,https://github.com/Sodelin/legal-case-for-opt-in-Washington-State-sworn-statements-program-for-political-truth-program/pull/1,,2026-09-05,Checked head 9b695f3e45e13d60767db71ed91cf4cc668c9d09. Document/repository status is separate from legal clearance.
R3,Washington sworn-statement project: PR 2,webpage,https://github.com/Sodelin/legal-case-for-opt-in-Washington-State-sworn-statements-program-for-political-truth-program/pull/2,,2026-09-05,Checked head 96c5388421ed6e221c8520878458feba96e14aac. Document/repository status is separate from legal clearance.
R4,Washington sworn-statement project: PR 3,webpage,https://github.com/Sodelin/legal-case-for-opt-in-Washington-State-sworn-statements-program-for-political-truth-program/pull/3,,2026-09-05,Checked head 08283fc190f23d69406b5f9cc810fbbc00d8b068. Document/repository status is separate from legal clearance.
R5,Washington sworn-statement project: PR 4,webpage,https://github.com/Sodelin/legal-case-for-opt-in-Washington-State-sworn-statements-program-for-political-truth-program/pull/4,,2026-09-05,Checked head b99f7df6712a063e824922ede87b2c7ecca726f0. Document/repository status is separate from legal clearance.
R6,Washington sworn-statement project: PR 5,webpage,https://github.com/Sodelin/legal-case-for-opt-in-Washington-State-sworn-statements-program-for-political-truth-program/pull/5,,2026-09-05,Checked head 73a036076096c0874478ccfdffdc5e605378765a. Document/repository status is separate from legal clearance.
