condition_id,source_requirement,disposition,affected_file_section,remaining_limit,implementation_commit,reviewer_acknowledgment,source
PB-17,Behavioral proof and power,partially_implemented,research/NONSWORN_EVIDENCE_AND_METHODS.md / Proposed evaluation,Claims corrected; new study power/margins/thresholds remain unset,60da070e4465d0ce9e7b5ab572c6975235b6a157,Independent project review: acceptable as synthetic Phase0 documentation only; no original-lane or professional approval inferred,https://github.com/Sodelin/legal-case-for-opt-in-Washington-State-sworn-statements-program-for-political-truth-program/blob/08283fc190f23d69406b5f9cc810fbbc00d8b068/audit/CROSS_PROJECT_HANDOFF.md
PB-18,Public repository information,implemented_boundary,audit/PROJECT_CONTROL.md / Product rules,Only fictional examples; actual private materials excluded,60da070e4465d0ce9e7b5ab572c6975235b6a157,Independent project review: acceptable as synthetic Phase0 documentation only; no original-lane or professional approval inferred,https://github.com/Sodelin/legal-case-for-opt-in-Washington-State-sworn-statements-program-for-political-truth-program/blob/08283fc190f23d69406b5f9cc810fbbc00d8b068/audit/CROSS_PROJECT_HANDOFF.md
D-01,In-person sworn architecture,inactive_for_selected_scope,audit/CANONICAL_STATUS.md,Selected non-sworn version; old remote instructions marked historical,60da070e4465d0ce9e7b5ab572c6975235b6a157,Independent project review: acceptable as synthetic Phase0 documentation only; no original-lane or professional approval inferred,https://github.com/Sodelin/legal-case-for-opt-in-Washington-State-sworn-statements-program-for-political-truth-program/blob/b99f7df6712a063e824922ede87b2c7ecca726f0/audit/judicial-review-2026-08-30/report-source.md
D-02,Deprecate old control packet,implemented_document_change,operations/DGG_PILOT_CONTROL_PACKET.md / opening banner,Old body retained as research; no operative authority,60da070e4465d0ce9e7b5ab572c6975235b6a157,Independent project review: acceptable as synthetic Phase0 documentation only; no original-lane or professional approval inferred,https://github.com/Sodelin/legal-case-for-opt-in-Washington-State-sworn-statements-program-for-political-truth-program/blob/b99f7df6712a063e824922ede87b2c7ecca726f0/audit/judicial-review-2026-08-30/report-source.md
D-03,CSR incorporation,inactive_for_selected_scope,"operations/NONSWORN_CLAIM_RECORD_PHASE0.md / 1,2",No CSR; bounded non-sworn statement/basis/qualification specified,60da070e4465d0ce9e7b5ab572c6975235b6a157,Independent project review: acceptable as synthetic Phase0 documentation only; no original-lane or professional approval inferred,https://github.com/Sodelin/legal-case-for-opt-in-Washington-State-sworn-statements-program-for-political-truth-program/blob/b99f7df6712a063e824922ede87b2c7ecca726f0/audit/judicial-review-2026-08-30/report-source.md
D-04,Notary role/certificate,inactive_for_selected_scope,operations/NONSWORN_CLAIM_RECORD_PHASE0.md / 1,No notarial role/certificate; original legal cure remains open,60da070e4465d0ce9e7b5ab572c6975235b6a157,Independent project review: acceptable as synthetic Phase0 documentation only; no original-lane or professional approval inferred,https://github.com/Sodelin/legal-case-for-opt-in-Washington-State-sworn-statements-program-for-political-truth-program/blob/b99f7df6712a063e824922ede87b2c7ecca726f0/audit/judicial-review-2026-08-30/report-source.md
D-05,Identity/journal/privacy/fees,partially_applicable,"operations/NONSWORN_REVIEW_GATES.md / 1,4",Notarial fields inactive; real identity/privacy/custody review open,60da070e4465d0ce9e7b5ab572c6975235b6a157,Independent project review: acceptable as synthetic Phase0 documentation only; no original-lane or professional approval inferred,https://github.com/Sodelin/legal-case-for-opt-in-Washington-State-sworn-statements-program-for-political-truth-program/blob/b99f7df6712a063e824922ede87b2c7ecca726f0/audit/judicial-review-2026-08-30/report-source.md
D-06,Recording consent rationale,implemented_intake,operations/NONSWORN_REVIEW_GATES.md / 3,Stricter written consent policy distinguished from statute,60da070e4465d0ce9e7b5ab572c6975235b6a157,Independent project review: acceptable as synthetic Phase0 documentation only; no original-lane or professional approval inferred,https://github.com/Sodelin/legal-case-for-opt-in-Washington-State-sworn-statements-program-for-political-truth-program/blob/b99f7df6712a063e824922ede87b2c7ecca726f0/audit/judicial-review-2026-08-30/report-source.md
D-07,Master/derivative IDs/digests,implemented_specification,operations/NONSWORN_CLAIM_RECORD_PHASE0.md / 4,Exact-byte fictional example supplied; actual systems absent,60da070e4465d0ce9e7b5ab572c6975235b6a157,Independent project review: acceptable as synthetic Phase0 documentation only; no original-lane or professional approval inferred,https://github.com/Sodelin/legal-case-for-opt-in-Washington-State-sworn-statements-program-for-political-truth-program/blob/b99f7df6712a063e824922ede87b2c7ecca726f0/audit/judicial-review-2026-08-30/report-source.md
D-08,Pearsall-Stipek/Lewis citations,inactive_for_selected_scope,audit/CANONICAL_STATUS.md,No new case-law proposition; historical sworn correction unclosed,60da070e4465d0ce9e7b5ab572c6975235b6a157,Independent project review: acceptable as synthetic Phase0 documentation only; no original-lane or professional approval inferred,https://github.com/Sodelin/legal-case-for-opt-in-Washington-State-sworn-statements-program-for-political-truth-program/blob/b99f7df6712a063e824922ede87b2c7ecca726f0/audit/judicial-review-2026-08-30/report-source.md
D-09,Interstate surrender direction,inactive_for_selected_scope,audit/CANONICAL_STATUS.md,No enforcement pathway; historical legal correction unclosed,60da070e4465d0ce9e7b5ab572c6975235b6a157,Independent project review: acceptable as synthetic Phase0 documentation only; no original-lane or professional approval inferred,https://github.com/Sodelin/legal-case-for-opt-in-Washington-State-sworn-statements-program-for-political-truth-program/blob/b99f7df6712a063e824922ede87b2c7ecca726f0/audit/judicial-review-2026-08-30/report-source.md
D-10,False swearing/perjury claims,implemented_boundary,audit/PROJECT_CONTROL.md / Product rules,No program penalty mechanism or prediction,60da070e4465d0ce9e7b5ab572c6975235b6a157,Independent project review: acceptable as synthetic Phase0 documentation only; no original-lane or professional approval inferred,https://github.com/Sodelin/legal-case-for-opt-in-Washington-State-sworn-statements-program-for-political-truth-program/blob/b99f7df6712a063e824922ede87b2c7ecca726f0/audit/judicial-review-2026-08-30/report-source.md
D-11,Federal campaign/broadcast tree,implemented_intake,operations/NONSWORN_REVIEW_GATES.md / 2,Per-use legal classifications and predicates remain open,60da070e4465d0ce9e7b5ab572c6975235b6a157,Independent project review: acceptable as synthetic Phase0 documentation only; no original-lane or professional approval inferred,https://github.com/Sodelin/legal-case-for-opt-in-Washington-State-sworn-statements-program-for-political-truth-program/blob/b99f7df6712a063e824922ede87b2c7ecca726f0/audit/judicial-review-2026-08-30/report-source.md
D-12,WA exclusions/amounts/entity facts,implemented_intake,"operations/NONSWORN_REVIEW_GATES.md / 1,2",No exemption assumed; thresholds/entity facts require written review,60da070e4465d0ce9e7b5ab572c6975235b6a157,Independent project review: acceptable as synthetic Phase0 documentation only; no original-lane or professional approval inferred,https://github.com/Sodelin/legal-case-for-opt-in-Washington-State-sworn-statements-program-for-political-truth-program/blob/b99f7df6712a063e824922ede87b2c7ecca726f0/audit/judicial-review-2026-08-30/report-source.md
D-13,Viewpoint neutrality policy,implemented_boundary,audit/PROJECT_CONTROL.md / Product rules,Policy rather than inferred constitutional duty,60da070e4465d0ce9e7b5ab572c6975235b6a157,Independent project review: acceptable as synthetic Phase0 documentation only; no original-lane or professional approval inferred,https://github.com/Sodelin/legal-case-for-opt-in-Washington-State-sworn-statements-program-for-political-truth-program/blob/b99f7df6712a063e824922ede87b2c7ecca726f0/audit/judicial-review-2026-08-30/report-source.md
D-14,Named invitee statuses,implemented_boundary,operations/NONSWORN_CLAIM_RECORD_PHASE0.md / 4,No named status feature in selected version,60da070e4465d0ce9e7b5ab572c6975235b6a157,Independent project review: acceptable as synthetic Phase0 documentation only; no original-lane or professional approval inferred,https://github.com/Sodelin/legal-case-for-opt-in-Washington-State-sworn-statements-program-for-political-truth-program/blob/b99f7df6712a063e824922ede87b2c7ecca726f0/audit/judicial-review-2026-08-30/report-source.md
D-15,Behavioral adverse/transport evidence,partially_implemented,research/NONSWORN_EVIDENCE_AND_METHODS.md / Evidence,Non-sworn map corrected incl Zickfeld/adverse source; oath-specific Jacquemet work retained for future sworn track,60da070e4465d0ce9e7b5ab572c6975235b6a157,Independent project review: acceptable as synthetic Phase0 documentation only; no original-lane or professional approval inferred,https://github.com/Sodelin/legal-case-for-opt-in-Washington-State-sworn-statements-program-for-political-truth-program/blob/b99f7df6712a063e824922ede87b2c7ecca726f0/audit/judicial-review-2026-08-30/report-source.md
D-16,Power/confidence/equivalence,partially_implemented,research/NONSWORN_EVIDENCE_AND_METHODS.md / Equivalence and comprehension,Interval rule specified; justified numerical margins/power/harm thresholds remain open; old oath power totals not carried over,60da070e4465d0ce9e7b5ab572c6975235b6a157,Independent project review: acceptable as synthetic Phase0 documentation only; no original-lane or professional approval inferred,https://github.com/Sodelin/legal-case-for-opt-in-Washington-State-sworn-statements-program-for-political-truth-program/blob/b99f7df6712a063e824922ede87b2c7ecca726f0/audit/judicial-review-2026-08-30/report-source.md
D-17,Audience/speaker estimands,implemented_proposal,research/NONSWORN_EVIDENCE_AND_METHODS.md / Proposed evaluation,Separate prospective experiments; no authorized data collection,60da070e4465d0ce9e7b5ab572c6975235b6a157,Independent project review: acceptable as synthetic Phase0 documentation only; no original-lane or professional approval inferred,https://github.com/Sodelin/legal-case-for-opt-in-Washington-State-sworn-statements-program-for-political-truth-program/blob/b99f7df6712a063e824922ede87b2c7ecca726f0/audit/judicial-review-2026-08-30/report-source.md
D-18,Legal metadata/citator,open_before_use,"operations/NONSWORN_REVIEW_GATES.md / 1,4",Current professional source/later-treatment check remains required; no publication-ready legal memorandum claimed,60da070e4465d0ce9e7b5ab572c6975235b6a157,Independent project review: acceptable as synthetic Phase0 documentation only; no original-lane or professional approval inferred,https://github.com/Sodelin/legal-case-for-opt-in-Washington-State-sworn-statements-program-for-political-truth-program/blob/b99f7df6712a063e824922ede87b2c7ecca726f0/audit/judicial-review-2026-08-30/report-source.md
D-19,DOCX QA/status/manifest,partially_implemented,audit/CANONICAL_STATUS.md; archive/pr5-2026-08-30/README.md,Legacy binaries quarantined; current Markdown checked; future rendered exports need fresh accessibility/semantic QA,60da070e4465d0ce9e7b5ab572c6975235b6a157,Independent project review: acceptable as synthetic Phase0 documentation only; no original-lane or professional approval inferred,https://github.com/Sodelin/legal-case-for-opt-in-Washington-State-sworn-statements-program-for-political-truth-program/blob/b99f7df6712a063e824922ede87b2c7ecca726f0/audit/judicial-review-2026-08-30/report-source.md
D-20,Written professional approvals,open_before_use,operations/NONSWORN_REVIEW_GATES.md / 4,Applicable legal/security/methods approvals open; oath-specific reviewers inactive until feature returns,60da070e4465d0ce9e7b5ab572c6975235b6a157,Independent project review: acceptable as synthetic Phase0 documentation only; no original-lane or professional approval inferred,https://github.com/Sodelin/legal-case-for-opt-in-Washington-State-sworn-statements-program-for-political-truth-program/blob/b99f7df6712a063e824922ede87b2c7ecca726f0/audit/judicial-review-2026-08-30/report-source.md
D-21,Witness-law pressure,implemented_boundary,audit/PROJECT_CONTROL.md / Product rules,No categorical reassurance/threat; pressure scenarios stop for review,60da070e4465d0ce9e7b5ab572c6975235b6a157,Independent project review: acceptable as synthetic Phase0 documentation only; no original-lane or professional approval inferred,https://github.com/Sodelin/legal-case-for-opt-in-Washington-State-sworn-statements-program-for-political-truth-program/blob/b99f7df6712a063e824922ede87b2c7ecca726f0/audit/judicial-review-2026-08-30/report-source.md
P5-01,Authority/hierarchy/crosswalk,implemented_document_change,audit/CANONICAL_STATUS.md; audit/OWNER_DECISION_2026-09-05.md,Owner selection now recorded; old source snapshots unchanged,60da070e4465d0ce9e7b5ab572c6975235b6a157,Independent project review: acceptable as synthetic Phase0 documentation only; no original-lane or professional approval inferred,https://github.com/Sodelin/legal-case-for-opt-in-Washington-State-sworn-statements-program-for-political-truth-program/pull/5#issuecomment-5471377748
P5-02,Safety/confidence wording,implemented_document_change,outreach/CLAIM_RECORD_REVIEW_BRIEF.md; operations/NONSWORN_CLAIM_RECORD_PHASE0.md / 1,Current text observes willingness only; old wording quarantined,60da070e4465d0ce9e7b5ab572c6975235b6a157,Independent project review: acceptable as synthetic Phase0 documentation only; no original-lane or professional approval inferred,https://github.com/Sodelin/legal-case-for-opt-in-Washington-State-sworn-statements-program-for-political-truth-program/pull/5#issuecomment-5471377748
P5-03,Behavioral source mapping,implemented_document_change,research/NONSWORN_EVIDENCE_AND_METHODS.md / Evidence,Indirect mechanisms and retrieval limits explicit,60da070e4465d0ce9e7b5ab572c6975235b6a157,Independent project review: acceptable as synthetic Phase0 documentation only; no original-lane or professional approval inferred,https://github.com/Sodelin/legal-case-for-opt-in-Washington-State-sworn-statements-program-for-political-truth-program/pull/5#issuecomment-5471377748
P5-04,Equivalence decision rule,partially_implemented,research/NONSWORN_EVIDENCE_AND_METHODS.md / Equivalence,"CI rule specified; margin/power/thresholds deferred before recruitment, so no sendable efficacy claim",60da070e4465d0ce9e7b5ab572c6975235b6a157,Independent project review: acceptable as synthetic Phase0 documentation only; no original-lane or professional approval inferred,https://github.com/Sodelin/legal-case-for-opt-in-Washington-State-sworn-statements-program-for-political-truth-program/pull/5#issuecomment-5471377748
P5-05,Legal decision trees,implemented_intake,operations/NONSWORN_REVIEW_GATES.md / 1-4,Current source-backed intake added; exact-use legal decisions not complete,60da070e4465d0ce9e7b5ab572c6975235b6a157,Independent project review: acceptable as synthetic Phase0 documentation only; no original-lane or professional approval inferred,https://github.com/Sodelin/legal-case-for-opt-in-Washington-State-sworn-statements-program-for-political-truth-program/pull/5#issuecomment-5471377748
P5-06,Composite/version/reuse,implemented_specification,"operations/NONSWORN_CLAIM_RECORD_PHASE0.md / 2,4",Actual permissions/custody/licensing and software enforcement remain open,60da070e4465d0ce9e7b5ab572c6975235b6a157,Independent project review: acceptable as synthetic Phase0 documentation only; no original-lane or professional approval inferred,https://github.com/Sodelin/legal-case-for-opt-in-Washington-State-sworn-statements-program-for-political-truth-program/pull/5#issuecomment-5471377748
P5-07,Evidence/methods operations,implemented_proposal,operations/NONSWORN_CLAIM_RECORD_PHASE0.md / 3; research/NONSWORN_EVIDENCE_AND_METHODS.md,Search/category/dispute and study rules specified; real reviewers/design approval absent,60da070e4465d0ce9e7b5ab572c6975235b6a157,Independent project review: acceptable as synthetic Phase0 documentation only; no original-lane or professional approval inferred,https://github.com/Sodelin/legal-case-for-opt-in-Washington-State-sworn-statements-program-for-political-truth-program/pull/5#issuecomment-5471377748
P5-08,Reproducible QA,partially_implemented,audit/NONSWORN_IMPLEMENTATION_QA.md,Markdown and fictional data verified; historical export warnings not claimed fixed,60da070e4465d0ce9e7b5ab572c6975235b6a157,Independent project review: acceptable as synthetic Phase0 documentation only; no original-lane or professional approval inferred,https://github.com/Sodelin/legal-case-for-opt-in-Washington-State-sworn-statements-program-for-political-truth-program/pull/5#issuecomment-5471377748
